event_id,entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint
0,SVC-0000,service_account,2026-06-01 00:03:45.640,68.89.120.132,"Pune, IN",it/email,api_key,168.679,connect;auth;query;write;disconnect,os=Ubuntu-22.04;fw=NA;mac=73:88:C0:A8:2C:4D;proto=AMQP
1,DEV-0012,edge_device,2026-06-01 00:05:33.510,134.235.9.233,"Hyderabad, IN",ot/plc-gateway-2,cert,73.022,handshake;poll;read,os=RTLinux-4.4;fw=2.8.0;mac=97:3D:3A:B8:A3:9C;proto=MQTT
2,SVC-0016,service_account,2026-06-01 00:08:50.871,212.76.28.225,"Hyderabad, IN",code/repo,cert,74.859,connect;auth;query,os=Debian-12;fw=NA;mac=D6:E3:18:78:D4:79;proto=HTTPS
3,DEV-0002,edge_device,2026-06-01 00:09:35.474,196.36.228.143,"Bengaluru, IN",ot/historian,cert,37.638,handshake;poll;read;report,os=VxWorks-7;fw=1.5.6;mac=60:CA:9E:22:0A:94;proto=Modbus
4,SVC-0013,service_account,2026-06-01 00:13:08.384,164.215.28.54,"Bengaluru, IN",it/email,api_key,213.195,connect;read;write;export,os=Debian-12;fw=NA;mac=23:FC:A7:2D:72:EA;proto=AMQP
5,SVC-0016,service_account,2026-06-01 00:14:19.315,212.76.28.225,"Hyderabad, IN",code/repo,cert,11.817,connect;auth;query;read;write;export,os=Debian-12;fw=NA;mac=D6:E3:18:78:D4:79;proto=HTTPS
6,DEV-0003,edge_device,2026-06-01 00:15:31.688,180.189.47.46,"Hyderabad, IN",ot/plc-gateway-2,psk,67.581,handshake;poll;read;report,os=Yocto-3.1;fw=2.8.1;mac=39:CF:6A:F9:3E:14;proto=OPC-UA
7,SVC-0018,service_account,2026-06-01 00:17:24.944,206.45.196.230,"Houston, US",ot/edge-broker,api_key,196.736,connect;auth;query;read;write,os=Debian-12;fw=NA;mac=08:ED:B3:19:C0:1B;proto=AMQP
8,SVC-0000,service_account,2026-06-01 00:17:37.611,68.89.120.132,"Pune, IN",fileshare/finance,api_key,306.85,connect;auth;query,os=Ubuntu-22.04;fw=NA;mac=73:88:C0:A8:2C:4D;proto=AMQP
9,DEV-0004,edge_device,2026-06-01 00:18:34.889,147.186.129.57,"Hyderabad, IN",ot/plc-gateway-2,cert,56.345,handshake;poll;read,os=Yocto-3.1;fw=2.3.8;mac=F5:A9:0A:34:B4:8B;proto=OPC-UA
